Trajectories
200
,,BME:T,,,BME:R,,,BME:B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
116,0,240.939,233.056,225.947,165.469,248.84,249.696,157.984,223.56,166.661
117,0,240.963,233.076,225.969,165.503,248.847,249.708,157.962,223.491,166.58
118,0,240.989,233.08,225.994,165.755,248.782,249.666,158.159,223.64,166.788
119,0,240.947,233.055,225.961,165.732,248.827,249.653,158.124,223.601,166.705
120,0,240.938,233.076,225.949,165.719,248.81,249.656,157.269,222.997,165.737
121,0,240.934,233.077,225.95,165.708,248.778,249.646,158.186,223.665,166.729
122,0,240.955,233.078,225.95,165.509,248.847,249.706,157.114,222.889,165.741
123,0,240.942,233.07,225.972,165.524,248.859,249.705,158.149,223.594,166.753
124,0,240.976,233.082,225.968,165.545,248.867,249.687,157.223,222.971,165.737
125,0,240.978,233.088,226.028,165.707,248.746,249.535,157.066,222.873,165.648
126,0,240.934,233.07,225.967,165.688,248.814,249.607,157.255,222.997,165.715
127,0,240.961,233.065,225.967,165.58,248.901,249.69,158.099,223.563,166.689
128,0,240.96,233.065,225.951,165.558,248.883,249.714,157.227,223.028,165.758
129,0,240.965,233.083,225.962,165.543,248.84,249.651,157.223,222.986,165.75
130,0,240.949,233.064,225.963,165.812,248.816,249.61,158.097,223.604,166.725
131,0,240.968,233.077,225.96,165.723,248.829,249.634,158.147,223.626,166.759
132,0,240.933,233.072,225.955,165.671,248.805,249.616,157.22,222.993,165.726
133,0,240.954,233.067,225.971,165.455,248.857,249.711,158.183,223.643,166.796
134,0,240.933,233.092,225.984,165.5,248.868,249.723,158.072,223.581,166.698
135,0,240.959,233.081,225.963,165.509,248.853,249.709,158.176,223.629,166.727
136,0,240.946,233.072,225.964,165.724,248.829,249.613,158.093,223.527,166.668
137,0,240.946,233.078,225.955,165.717,248.82,249.665,158.048,223.574,166.686
138,0,240.929,233.07,225.934,165.708,248.771,249.54,157.942,223.481,166.665
139,0,240.963,233.093,225.944,165.464,248.842,249.663,157.227,222.941,165.692
140,0,240.928,233.082,225.963,165.498,248.854,249.729,158.14,223.6,166.713
141,0,240.961,233.101,226.017,165.8,248.861,249.693,157.124,222.882,165.701
142,0,240.954,233.059,225.969,165.739,248.809,249.585,157.237,222.96,165.748
143,0,240.954,233.077,225.978,165.49,248.852,249.582,158.128,223.657,166.734
144,0,240.953,233.067,225.967,165.479,248.808,249.732,158.063,223.55,166.697
145,0,240.937,233.087,225.967,165.532,248.874,249.694,157.237,222.974,165.711
146,0,240.943,233.071,225.971,165.503,248.861,249.705,157.895,223.485,166.603
147,0,240.931,233.07,225.972,165.469,248.855,249.687,157.257,222.999,165.759
148,0,240.946,233.077,225.944,165.687,248.797,249.636,157.236,222.949,165.74
149,0,240.962,233.061,225.965,165.679,248.799,249.637,158.196,223.688,166.794
150,0,240.952,233.075,225.946,165.697,248.818,249.629,157.165,222.948,165.715
151,0,240.951,233.074,225.984,165.767,248.776,249.606,158.032,223.56,166.683
152,0,240.949,233.064,225.979,165.708,248.804,249.681,158.042,223.549,166.642
153,0,240.948,233.068,225.967,165.75,248.825,249.651,158.087,223.568,166.733
154,0,240.956,233.074,225.949,165.505,248.879,249.684,158.139,223.647,166.757
155,0,240.963,233.061,225.974,165.483,248.84,249.69,157.242,222.972,165.736
156,0,240.962,233.071,225.96,165.478,248.84,249.697,158.053,223.582,166.658
157,0,240.971,233.069,225.978,165.505,248.86,249.702,157.276,222.939,165.726
158,0,240.929,233.069,225.947,165.698,248.839,249.66,158.148,223.623,166.754
159,0,240.95,233.076,225.966,165.712,248.838,249.64,157.219,222.952,165.638
160,0,240.942,233.076,225.931,165.705,248.802,249.624,157.283,223.064,165.762
161,0,240.952,233.06,225.955,165.473,248.835,249.687,158.179,223.689,166.744
162,0,240.988,233.073,226.028,165.511,248.868,249.694,158.145,223.63,166.729
163,0,240.949,233.076,225.967,165.533,248.881,249.753,157.207,222.921,165.77
164,0,240.932,233.064,225.957,165.515,248.861,249.717,157.263,222.955,165.786
165,0,240.954,233.073,225.952,165.752,248.816,249.523,157.18,222.906,165.721
166,0,240.976,233.064,225.965,165.51,248.833,249.708,157.265,223.013,165.773
167,0,240.962,233.069,225.986,165.476,248.861,249.722,157.174,222.896,165.716
168,0,240.971,233.074,225.968,165.518,248.853,249.739,158.082,223.615,166.754
169,0,240.941,233.069,225.966,165.749,248.803,249.573,158.142,223.618,166.689
170,0,240.951,233.071,225.955,165.78,248.795,249.578,158.037,223.556,166.718
171,0,240.95,233.087,225.953,165.711,248.781,249.637,158.102,223.61,166.747
172,0,240.965,233.087,225.968,165.753,248.82,249.551,157.256,222.994,165.765
173,0,240.956,233.074,225.987,165.479,248.897,249.714,158.115,223.567,166.731
174,0,240.925,233.085,225.947,165.54,248.888,249.705,158.166,223.624,166.752
175,0,240.95,233.078,225.96,165.504,248.845,249.693,158.222,223.671,166.785
176,0,240.959,233.071,225.945,165.707,248.793,249.627,158.202,223.623,166.764
177,0,240.961,233.077,225.969,165.764,248.784,249.625,158.163,223.607,166.734
178,0,240.938,233.088,225.961,165.496,248.844,249.634,157.217,222.929,165.705
179,0,240.958,233.067,225.969,165.494,248.859,249.751,158.153,223.68,166.746
180,0,240.948,233.06,225.937,165.574,248.907,249.723,157.284,222.974,165.708
181,0,240.929,233.074,225.957,165.784,248.798,249.614,157.253,223.017,165.716
182,0,240.949,233.085,225.967,165.712,248.774,249.666,157.176,222.906,165.712
183,0,240.965,233.087,226.005,165.554,248.845,249.577,157.209,222.968,165.679
184,0,240.961,233.068,225.957,165.471,248.827,249.724,157.17,222.922,165.675
185,0,240.96,233.071,225.983,165.493,248.861,249.722,158.047,223.589,166.76
186,0,240.949,233.073,225.931,165.742,248.801,249.641,158.276,223.737,166.762
187,0,240.959,233.076,225.962,165.699,248.806,249.653,158.245,223.736,166.814
188,0,240.957,233.085,225.98,165.551,248.861,249.607,157.261,223.029,165.705
189,0,240.958,233.076,225.974,165.487,248.836,249.705,158.141,223.65,166.745
190,0,240.947,233.065,225.963,165.517,248.861,249.705,157.948,223.451,166.673
191,0,240.93,233.071,225.963,165.765,248.789,249.623,158.09,223.59,166.72
192,0,240.965,233.082,225.971,165.712,248.817,249.55,158.12,223.614,166.713
193,0,240.954,233.079,225.982,165.465,248.849,249.714,158.231,223.703,166.793
194,0,240.979,233.077,225.997,165.548,248.874,249.681,158.167,223.684,166.798
195,0,240.94,233.066,225.947,165.507,248.864,249.729,157.233,222.971,165.722
196,0,240.947,233.074,225.971,165.516,248.858,249.715,157.136,222.945,165.731
197,0,240.965,233.073,225.947,165.758,248.827,249.635,157.965,223.564,166.66
198,0,240.95,233.077,225.948,165.692,248.846,249.61,157.249,222.963,165.711
199,0,240.962,233.074,225.993,165.64,248.784,249.617,157.245,223.016,165.738
200,0,240.975,233.083,225.94,165.542,248.84,249.6,158.095,223.57,166.69
201,0,240.936,233.063,225.957,165.696,248.816,249.697,157.95,223.457,166.665
