Trajectories
200
,,BME:T,,,BME:R,,,BME:B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
188,0,216.816,220.004,251.713,206.367,284.844,205.679,216.707,219.536,146.015
189,0,216.937,220.036,251.859,206.354,284.87,205.726,217.07,219.74,146.085
190,0,216.837,220.028,251.784,206.392,284.898,205.77,217.086,219.758,146.061
191,0,216.791,220.012,251.729,206.371,284.896,205.748,216.862,219.774,145.9
192,0,216.776,219.996,251.719,206.337,284.866,205.727,217.059,219.724,146.069
193,0,216.815,219.987,251.717,206.347,284.836,205.679,217.027,219.745,146.006
194,0,216.804,220.008,251.718,206.411,284.866,205.702,216.892,219.692,145.997
195,0,216.851,220.029,251.743,206.368,284.88,205.705,216.867,219.78,145.92
196,0,216.8,220.007,251.746,206.356,284.861,205.719,217.087,219.755,146.032
197,0,216.789,219.993,251.745,206.345,284.864,205.706,216.69,219.52,146.026
198,0,216.93,220.029,251.835,206.383,284.873,205.734,216.87,219.667,146.03
199,0,216.831,220.016,251.746,206.408,284.879,205.721,216.82,219.582,146.102
200,0,216.819,220.012,251.729,206.402,284.868,205.721,216.887,219.816,145.856
201,0,216.795,219.981,251.693,206.348,284.858,205.709,216.844,219.583,146.116
202,0,216.798,219.993,251.739,206.381,284.871,205.729,216.825,219.745,145.901
203,0,216.826,220.011,251.759,206.411,284.881,205.743,216.693,219.522,146.059
204,0,216.842,220.04,251.743,206.419,284.885,205.71,216.844,219.592,146.133
205,0,216.788,220.003,251.715,206.352,284.874,205.698,216.883,219.688,145.976
206,0,216.785,219.989,251.747,206.357,284.868,205.712,216.858,219.747,145.923
207,0,216.819,220.002,251.731,206.394,284.875,205.735,216.876,219.678,146.007
208,0,216.861,220.014,251.75,206.395,284.883,205.723,217.031,219.744,146.041
209,0,216.772,219.996,251.7,206.387,284.879,205.702,216.655,219.532,146.037
210,0,216.864,220.031,251.583,206.342,284.867,205.703,217.034,219.759,145.974
211,0,216.79,219.983,251.742,206.33,284.87,205.748,216.811,219.587,146.076
212,0,216.825,220.019,251.763,206.401,284.878,205.754,216.805,219.768,145.864
213,0,216.848,220.008,251.753,206.403,284.879,205.722,216.823,219.591,146.084
214,0,216.779,219.981,251.693,206.364,284.867,205.682,216.87,219.685,146.017
215,0,216.781,219.992,251.678,206.361,284.864,205.681,217.042,219.735,146.071
216,0,216.83,219.995,251.744,206.375,284.86,205.712,216.836,219.582,146.095
217,0,216.828,220.013,251.776,206.377,284.883,205.739,216.823,219.761,145.905
218,0,216.794,220.011,251.724,206.354,284.874,205.714,217.051,219.752,146.07
219,0,216.772,220.004,251.698,206.347,284.877,205.709,217.068,219.748,146.057
220,0,216.826,220.013,251.736,206.379,284.865,205.714,216.982,219.659,146.129
221,0,216.795,220.006,251.757,206.376,284.876,205.735,217.083,219.743,146.133
222,0,216.803,219.993,251.741,206.352,284.87,205.715,216.706,219.521,146.059
223,0,216.792,220.02,251.707,206.355,284.876,205.7,217.081,219.762,146.08
224,0,216.816,220.011,251.742,206.396,284.879,205.724,216.871,219.711,145.979
225,0,216.919,220.034,251.851,206.367,284.884,205.758,216.907,219.673,146.065
226,0,216.794,219.993,251.728,206.374,284.875,205.734,216.888,219.762,145.945
227,0,216.782,220.018,251.722,206.365,284.877,205.717,217.075,219.718,146.1
228,0,216.817,220.007,251.707,206.348,284.878,205.7,216.832,219.819,145.843
229,0,216.82,220.013,251.721,206.397,284.868,205.705,216.922,219.693,146.005
230,0,216.835,219.995,251.757,206.432,284.857,205.717,217.038,219.811,145.934
231,0,216.837,220.013,251.765,206.362,284.876,205.718,216.688,219.523,146.11
232,0,216.775,220.02,251.712,206.347,284.878,205.689,217.042,219.743,146.053
233,0,216.806,220.022,251.744,206.399,284.874,205.707,217.222,219.799,146.081
234,0,216.83,220.014,251.736,206.357,284.873,205.741,217.086,219.762,146.054
235,0,216.825,220.004,251.742,206.377,284.878,205.745,217.038,219.807,145.949
236,0,216.796,219.992,251.732,206.359,284.883,205.72,217.077,219.764,146.061
237,0,216.832,220.018,251.733,206.379,284.875,205.714,216.884,219.663,146.05
238,0,216.936,220.038,251.869,206.376,284.866,205.706,217.087,219.743,146.083
239,0,216.818,220.002,251.72,206.382,284.863,205.721,216.912,219.694,146.009
240,0,216.776,220.007,251.708,206.349,284.873,205.72,217.078,219.76,146.003
241,0,216.791,220.002,251.728,206.35,284.879,205.717,216.906,219.691,146.054
242,0,216.793,220.01,251.73,206.357,284.877,205.726,216.912,219.691,146.022
243,0,216.844,220.023,251.712,206.399,284.869,205.735,217.083,219.742,146.03
244,0,216.84,220.012,251.752,206.363,284.862,205.709,217.079,219.748,146.033
245,0,216.803,220.004,251.733,206.348,284.858,205.69,217.095,219.789,146.02
246,0,216.781,220.005,251.725,206.33,284.872,205.716,217.088,219.836,145.927
247,0,216.814,219.999,251.75,206.398,284.88,205.74,216.835,219.602,146.115
248,0,216.852,220.011,251.747,206.416,284.877,205.73,216.969,219.665,146.111
249,0,216.822,220.019,251.747,206.374,284.862,205.662,216.808,219.797,145.837
250,0,216.908,220.023,251.84,206.34,284.88,205.663,217.223,219.748,146.175
251,0,216.774,220.022,251.721,206.353,284.89,205.738,216.878,219.588,146.185
252,0,216.821,220.014,251.753,206.378,284.894,205.776,217.063,219.731,146.1
253,0,216.837,219.995,251.756,206.377,284.875,205.724,216.858,219.681,146.033
254,0,216.828,220.011,251.711,206.366,284.863,205.672,216.764,219.692,145.95
255,0,216.814,219.993,251.701,206.343,284.862,205.658,217.226,219.762,146.157
256,0,216.811,220.018,251.748,206.374,284.885,205.709,217.096,219.798,145.979
257,0,216.81,219.998,251.76,206.373,284.893,205.766,217.046,219.748,146.043
258,0,216.817,220.007,251.773,206.374,284.866,205.742,217.072,219.73,146.087
259,0,216.903,220.038,251.852,206.365,284.86,205.716,216.883,219.675,146.01
260,0,216.915,220.042,251.844,206.38,284.874,205.698,217.014,219.609,146.324
261,0,216.824,220.02,251.706,206.396,284.879,205.72,217.08,219.751,146.104
262,0,216.944,220.046,251.841,206.385,284.875,205.721,216.662,219.6,145.963
263,0,216.77,219.979,251.691,206.352,284.861,205.727,217.057,219.724,146.085
264,0,216.821,220.014,251.725,206.364,284.863,205.722,216.703,219.515,146.114
265,0,216.804,220.015,251.739,206.389,284.879,205.724,216.886,219.691,146.024
266,0,216.803,220.008,251.729,206.387,284.872,205.713,217.079,219.766,146.048
267,0,216.772,220.008,251.698,206.347,284.877,205.73,217.059,219.721,146.069
268,0,216.783,219.996,251.718,206.367,284.87,205.733,216.846,219.57,146.151
269,0,216.828,220.017,251.757,206.383,284.889,205.721,217.021,219.74,146.054
270,0,216.811,220.014,251.727,206.398,284.876,205.706,217.055,219.754,146.077
271,0,216.936,220.051,251.861,206.36,284.871,205.701,216.847,219.663,146.013
272,0,216.923,220.033,251.851,206.354,284.866,205.719,217.03,219.713,146.071
273,0,216.908,220.036,251.866,206.386,284.866,205.722,216.669,219.503,146.073
274,0,216.811,220.022,251.704,206.39,284.872,205.733,217.027,219.817,145.958
275,0,216.806,220.004,251.736,206.359,284.873,205.704,217.03,219.81,145.917
276,0,216.74,219.984,251.718,206.34,284.866,205.699,216.998,219.834,145.877
277,0,216.905,220.027,251.605,206.356,284.881,205.708,217.025,219.75,145.998
278,0,216.804,220.008,251.726,206.389,284.882,205.722,216.901,219.668,146.03
279,0,216.821,220.012,251.719,206.36,284.881,205.715,216.713,219.536,146.057
280,0,216.817,220.006,251.731,206.363,284.873,205.737,217.034,219.759,146.053
281,0,216.805,220.009,251.732,206.373,284.877,205.692,217.009,219.758,146.02
282,0,216.812,220.006,251.741,206.363,284.87,205.71,216.871,219.69,145.958
283,0,216.787,220.013,251.722,206.39,284.875,205.72,216.726,219.549,146.035
284,0,216.901,220.068,251.608,206.374,284.874,205.717,216.781,219.583,146.053
285,0,216.777,220.007,251.737,206.339,284.887,205.716,217.046,219.728,146.07
286,0,216.802,219.999,251.749,206.364,284.875,205.726,216.828,219.563,146.176
287,0,216.942,220.037,251.857,206.378,284.874,205.724,217.013,219.827,145.904
288,0,216.951,220.049,251.846,206.369,284.867,205.715,216.86,219.692,145.985
289,0,216.814,220.001,251.714,206.396,284.865,205.681,217.037,219.812,145.917
290,0,216.783,219.99,251.711,206.322,284.873,205.716,217.019,219.763,146.061
291,0,216.774,219.997,251.737,206.364,284.885,205.745,217.042,219.755,146.045
